ASV,Total_reads,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Strand
ASV143,163,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.17,,0.08,,0.08,,,Class,1.0,+
ASV145,158,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.6,,0.6,,0.16,,0.16,Class,1.0,+
ASV146,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.7,,0.54,,0.54,,0.3,Class,1.0,-
ASV149,150,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.35,,0.31,,0.2,,0.11,Class,1.0,+
ASV15,5004,0,5004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.48,,0.39,,0.35,,0.22,Class,1.0,+
ASV150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.48,,0.44,,0.1,,,Class,1.0,-
ASV157,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.47,,0.47,,0.19,,0.19,Class,1.0,+
ASV159,127,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.67,,0.67,,0.62,,0.61,Class,1.0,+
ASV16,4864,0,0,0,4864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.68,,0.5,,0.4,,0.25,Class,1.0,+
ASV161,124,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.78,,0.78,,0.5,,,Class,1.0,+
